func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,rep
map,1765747779.271765,1765747779.308599,False,52dfb2249ba4,aac31972,0,761,aac31972,0
map,1765747779.230342,1765747779.269322,False,52dfb2249ba4,aac31972,0,383,aac31972,0
reduce,1765747779.575957,1765747779.578511,False,4e82bda63d6d,aac31972,0,24,aac31972,0
reduce,1765747779.571899,1765747779.57446,False,4e82bda63d6d,aac31972,0,18,aac31972,0
shuffle,1765747779.450749,1765747779.456999,False,e13b2c9c8fba,aac31972,0,0,aac31972,0
reduce,1765747779.579605,1765747779.582346,False,4e82bda63d6d,aac31972,0,30,aac31972,0
split,1765747779.074395,1765747779.128264,False,7fb21a2dee8a,aac31972,0,1150,aac31972,0
reduce,1765747779.556904,1765747779.564585,False,4e82bda63d6d,aac31972,0,6,aac31972,0
reduce,1765747779.56733,1765747779.569981,False,4e82bda63d6d,aac31972,0,12,aac31972,0
map,1765747779.31135,1765747779.350271,False,52dfb2249ba4,aac31972,0,1151,aac31972,0
