func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,rep
split,1767808519.80488,1767808519.838882,False,e86dfb1e3fe5,284ec8d7,0,1150,284ec8d7,0
shuffle,1767808520.140384,1767808520.145531,False,e3d0e3b63419,284ec8d7,0,0,284ec8d7,0
